Designator,Footprint,Quantity,Value,Li-Ion Circuits,Robu.in,Price!!!
"C1, C2, C3",805,3,10uF,Done,,$1.11
"D1, D2",603,2,LED,Done,,$1.13
J6,KINGHELM_KH-TYPE-C-16P,1,KH-TYPE-C-16P,,Done,$0.78
R1,805,1,0.4Ω,Done,,$1.3
R2,805,1,1.33kΩ,Done,,$1.11
"R28, R4",805,2,5.1kΩ,Done,,$1.42
"R3, R5",805,2,1kΩ,Done,,$1.18
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,,Done,$0.23
U2,12BHC186P1GR,1,12BHC186P1-GR,,Done,$0.32
BAT1,Li-ion Battery,1,Li-ion Battery,,Done,$2.53
,,,,,Shippinng,$1.65 + $0.54
,,,,,Total,$11.11
